STOP_ID, STOP_NAME,SA2_NAME,SA2-NAME,SA3-CODE,SA2-CODE
6254,Grosvenor St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6300,Grosvenor St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6253,Chester St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6299,Chester St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6252,Darling St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6298,Darling St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6258,Park St/Waverley St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6294,Park St/Waverley St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6291,Combermere St/Alma St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6249,Corio St/Waverley St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6295,Corio St/Waverley St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6297,Norfolk St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6251,Lennox St/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6296,Maribyrnong Park/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6250,Maribyrnong Park/Holmes Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6307,Holmes Rd/Waverley St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6260,Holmes Rd/Waverley St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6261,Maribyrnong Park/Orford St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6308,Maribyrnong Park/Orford St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6189,Juliet St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4760,Juliet St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4759,Moonee Ponds PS/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6190,Fanny St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6191,Thomas St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4758,Capulet St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6192,McPherson St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4757,McPherson St/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
9280,Branch St/Dean St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
9561,Branch St/Dean St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6193,Pascoe Vale Rd/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4756,Pascoe Vale Rd/Wilson St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
9279,Stuart St/Dean St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
9560,Stuart St/Dean St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
9278,McNae St/Dean St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4755,Mt Alexander Rd/Kellaway Ave (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
9559,McNae St/Dean St (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
7253,Park St/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
6194,Mt Alexander Rd/Kellaway Ave (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18779,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18778,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18777,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18776,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
47703,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18850,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18849,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18848,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18780,Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
7963,Stuart St/Ormond Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
7961,Wordsworth St/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
4528,Montgomery St/Mt Alexander Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
7962,Mt Alexander Rd/Ormond Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
1364,Chaucer St/Ascot Vale Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
3217,Chaucer St/Ascot Vale Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
18852,Moonee Ponds Station/Norwood Cres (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
1367,Maribyrnong Rd/Ascot Vale Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
7964,Ormond Park/Ormond Rd (Moonee Ponds),Moonee Ponds,Moonee Ponds,20603,206031116
45121,Lowther Hall Grammar School/Leslie Rd (Essendon),Essendon,Essendon,20603,206031114
6293,Alma St/Waverley St (Essendon),Essendon,Essendon,20603,206031114
6247,Alma St/Waverley St (Essendon),Essendon,Essendon,20603,206031114
6292,Waverley St/Alma St (Essendon),Essendon,Essendon,20603,206031114
7255,Buckley St/Mt Alexander Rd (Essendon),Essendon,Essendon,20603,206031114
20751,Salvation Army Church/Buckley St (Essendon),Essendon,Essendon,20603,206031114
6239,St Columba's College/Buckley St (Essendon),Essendon,Essendon,20603,206031114
6301,Lorraine St/Buckley St (Essendon),Essendon,Essendon,20603,206031114
18773,Essendon Station/Russell St (Essendon),Essendon,Essendon,20603,206031114
6238,Robb St/Buckley St (Essendon),Essendon,Essendon,20603,206031114
6255,Daisy St/Buckley St (Essendon),Essendon,Essendon,20603,206031114
51773,Essendon Station/Russell St (Essendon),Essendon,Essendon,20603,206031114
6237,Scott St/Buckley St (Essendon),Essendon,Essendon,20603,206031114
51771,Essendon Station/Mt Alexander Rd (Essendon),Essendon,Essendon,20603,206031114
18775,Essendon Station/Rose St (Essendon),Essendon,Essendon,20603,206031114
18772,Essendon Station/Russell St (Essendon),Essendon,Essendon,20603,206031114
6256,Lincoln Rd/Buckley St (Essendon),Essendon,Essendon,20603,206031114
18771,Essendon Station/Russell St (Essendon),Essendon,Essendon,20603,206031114
51775,Essendon Station/Rose St (Essendon),Essendon,Essendon,20603,206031114
6283,McCarron Pde/Buckley St (Essendon),Essendon,Essendon,20603,206031114
18774,Essendon Station/Rose St (Essendon),Essendon,Essendon,20603,206031114
6102,Essendon Keilor College/Buckley St (Essendon),Essendon,Essendon,20603,206031114
6101,Hedderwick St/Buckley St (Essendon),Essendon,Essendon,20603,206031114
6804,Raleigh St/Napier St (Essendon),Essendon,Essendon,20603,206031114
6697,Raleigh St/Napier St (Essendon),Essendon,Essendon,20603,206031114
27864,Shamrock St/Richardson St (Essendon),Essendon,Essendon,20603,206031114
45127,Penleigh & Essendon Grammar Junior School/Raleigh St (Essendon),Essendon,Essendon,20603,206031114
