STOP_ID, STOP_NAME,SA3_NAME
20038,Moonee Ponds Railway Station (Moonee Ponds),Moonee Ponds
20015,Croxton Railway Station (Northcote),Northcote
19967,Anstey Railway Station (Brunswick),Brunswick
20003,Ginifer Railway Station (St Albans),St Albans
20037,Essendon Railway Station (Essendon),Essendon
20014,Thornbury Railway Station (Thornbury),Thornbury
19966,Moreland Railway Station (Coburg),Coburg
20036,Glenbervie Railway Station (Essendon),Essendon
20013,Bell Railway Station (Preston),Preston
20002,St Albans Railway Station (St Albans),St Albans
20035,Strathmore Railway Station (Strathmore),Strathmore
19965,Coburg Railway Station (Coburg),Coburg
20012,Preston Railway Station (Preston),Preston
19964,Batman Railway Station (Coburg North),Coburg North
20034,Pascoe Vale Railway Station (Pascoe Vale),Pascoe Vale
20001,Keilor Plains Railway Station (St Albans),St Albans
20011,Regent Railway Station (Reservoir),Reservoir
19963,Merlynston Railway Station (Coburg North),Coburg North
20033,Oak Park Railway Station (Oak Park),Oak Park
20010,Reservoir Railway Station (Reservoir),Reservoir
19962,Fawkner Railway Station (Fawkner),Fawkner
20009,Ruthven Railway Station (Reservoir),Reservoir
20032,Glenroy Railway Station (Glenroy),Glenroy
20000,Watergardens Railway Station (Sydenham),Sydenham
19961,Gowrie Railway Station (Glenroy),Glenroy
20031,Jacana Railway Station (Glenroy),Glenroy
20008,Keon Park Railway Station (Thomastown),Thomastown
20030,Broadmeadows Railway Station (Broadmeadows),Broadmeadows
20007,Thomastown Railway Station (Thomastown),Thomastown
19960,Upfield Railway Station (Coolaroo),Coolaroo
20006,Lalor Railway Station (Lalor),Lalor
44817,Coolaroo Railway Station (Coolaroo),Coolaroo
20005,Epping Railway Station (Epping),Epping
40220,Roxburgh Park Railway Station (Roxburgh Park),Roxburgh Park
15353,Diggers Rest Railway Station (Diggers Rest),Diggers Rest
40221,Craigieburn Railway Station (Craigieburn),Craigieburn
15351,Sunbury Railway Station (Sunbury),Sunbury
19893,Canterbury Railway Station (Canterbury),Canterbury
19894,Chatham Railway Station (Surrey Hills),Surrey Hills
19895,Surrey Hills Railway Station (Surrey Hills),Surrey Hills
19908,Richmond Railway Station (Richmond),Richmond
19903,Auburn Railway Station (Hawthorn East),Hawthorn East
19905,Hawthorn Railway Station (Hawthorn),Hawthorn
19904,Glenferrie Railway Station (Hawthorn),Hawthorn
19897,Laburnum Railway Station (Blackburn),Blackburn
19899,Nunawading Railway Station (Nunawading),Nunawading
19898,Blackburn Railway Station (Blackburn),Blackburn
19896,Mont Albert Railway Station (Mont Albert),Mont Albert
20042,Box Hill Railway Station (Box Hill),Box Hill
19901,Heatherdale Railway Station (Ringwood),Ringwood
19900,Mitcham Railway Station (Mitcham),Mitcham
19979,Jolimont-MCG Railway Station (East Melbourne),East Melbourne
19902,Ringwood Railway Station (Ringwood),Ringwood
19978,West Richmond Railway Station (Richmond),Richmond
19879,Ringwood East Railway Station (Ringwood East),Ringwood East
19843,Parliament Railway Station (Melbourne City),Melbourne City
19977,North Richmond Railway Station (Richmond),Richmond
19976,Collingwood Railway Station (Abbotsford),Abbotsford
19975,Victoria Park Railway Station (Abbotsford),Abbotsford
19878,Croydon Railway Station (Croydon),Croydon
19974,Clifton Hill Railway Station (Clifton Hill),Clifton Hill
19877,Mooroolbark Railway Station (Mooroolbark),Mooroolbark
20019,Rushall Railway Station (Fitzroy North),Fitzroy North
19928,Westgarth Railway Station (Northcote),Northcote
19929,Dennis Railway Station (Northcote),Northcote
19930,Fairfield Railway Station (Fairfield),Fairfield
19931,Alphington Railway Station (Alphington),Alphington
20017,Merri Railway Station (Northcote),Northcote
19932,Darebin Railway Station (Ivanhoe),Ivanhoe
19933,Ivanhoe Railway Station (Ivanhoe),Ivanhoe
19934,Eaglemont Railway Station (Eaglemont),Eaglemont
19935,Heidelberg Railway Station (Heidelberg),Heidelberg
19876,Lilydale Railway Station (Lilydale),Lilydale
19936,Rosanna Railway Station (Rosanna),Rosanna
19983,Macleod Railway Station (Macleod),Macleod
19986,Montmorency Railway Station (Montmorency),Montmorency
19987,Eltham Railway Station (Eltham),Eltham
19984,Watsonia Railway Station (Watsonia),Watsonia
19985,Greensborough Railway Station (Greensborough),Greensborough
19988,Diamond Creek Railway Station (Diamond Creek),Diamond Creek
19989,Wattle Glen Railway Station (Wattle Glen),Wattle Glen
45795,South Morang Railway Station (South Morang),South Morang
52159,Middle Gorge Railway Station (South Morang),South Morang
19990,Hurstbridge Railway Station (Hurstbridge),Hurstbridge
52160,Hawkstowe Railway Station (South Morang),South Morang
52161,Mernda Railway Station (Mernda),Mernda
19921,Werribee Railway Station (Werribee),Werribee
19922,Hoppers Crossing Railway Station (Hoppers Crossing),Hoppers Crossing
46468,Williams Landing Railway Station (Williams Landing),Williams Landing
19927,Seaholme Railway Station (Seaholme),Seaholme
19991,Williamstown Railway Station (Williamstown),Williamstown
