,STOP_ID, STOP_NAME,SA3_NAME
0,18514,36-Bayview Tce/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
1,18515,37-Union Rd/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
2,17938,37-Union Rd/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
3,18519,37-Maribyrnong Rd/Union Rd (Ascot Vale),Ascot Vale
4,17945,36-St Leonards Rd/Union Rd (Ascot Vale),Ascot Vale
5,18520,36-St Leonards Rd/Union Rd (Ascot Vale),Ascot Vale
6,18516,38-Ferguson St/Maribyrnong Rd (Ascot Vale),Ascot Vale
7,17937,38-Hotham St/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
8,17946,35-Bloomfield Rd/Union Rd (Ascot Vale),Ascot Vale
9,18521,35-Munro St/Union Rd (Ascot Vale),Ascot Vale
10,17936,39-Bowen St/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
11,18517,39-Bowen St/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
12,17947,34-Burrowes St/Union Rd (Ascot Vale),Ascot Vale
13,18522,34-Burrowes St/Union Rd (Ascot Vale),Ascot Vale
14,18518,40-Epsom Rd/Maribyrnong Rd (Ascot Vale),Ascot Vale
15,17935,40-Epsom Rd/Maribyrnong Rd (Moonee Ponds),Moonee Ponds
16,17948,33-Melbourne Showgrounds/Union Rd (Ascot Vale),Ascot Vale
17,17949,32-Sandown Rd/Epsom Rd (Ascot Vale),Ascot Vale
18,18524,32-Sandown Rd/Epsom Rd (Ascot Vale),Ascot Vale
19,18485,41-Maribyrnong Park/Maribyrnong Rd (Ascot Vale),Ascot Vale
20,992,41-Maribyrnong Park/Maribyrnong Rd (Ascot Vale),Ascot Vale
21,18486,42-Clyde St/Raleigh Rd (Maribyrnong),Maribyrnong
22,1083,42-Clyde St/Raleigh Rd (Maribyrnong),Maribyrnong
23,18487,43-Van Ness Ave/Raleigh Rd (Maribyrnong),Maribyrnong
24,4945,43-Van Ness Ave/Raleigh Rd (Maribyrnong),Maribyrnong
25,18488,44-Warrs Rd/Raleigh Rd (Maribyrnong),Maribyrnong
26,13995,44-Barb St/Raleigh Rd (Maribyrnong),Maribyrnong
27,18489,45-Maribyrnong Community Centre/Raleigh Rd (Maribyrnong),Maribyrnong
28,15559,45-Randall St/Raleigh Rd (Maribyrnong),Maribyrnong
29,18490,46-Rosamond Rd/Raleigh Rd (Maribyrnong),Maribyrnong
30,17917,46-Rosamond Rd/Raleigh Rd (Maribyrnong),Maribyrnong
31,18491,48-Wests Rd/Raleigh Rd (Maribyrnong),Maribyrnong
32,17918,48-Raleigh Rd/Wests Rd (Maribyrnong),Maribyrnong
33,22320,48-Wests Rd/Cordite Ave (Maribyrnong),Maribyrnong
34,18497,54-Gordon St/River St (Maribyrnong),Maribyrnong
35,17924,54-Gordon St/River St (Maribyrnong),Maribyrnong
36,17944,49-Central Park Ave/Cordite Ave (Maribyrnong),Maribyrnong
37,17921,51-Williamson Rd/Rosamond Rd (Maidstone),Maidstone
38,17919,49-Highpoint Shopping Centre/Wests Rd (Maribyrnong),Maribyrnong
39,18494,51-Williamson Rd/Rosamond Rd (Maidstone),Maidstone
40,18492,49-Highpoint Shopping Centre/Wests Rd (Maribyrnong),Maribyrnong
41,18498,55-Lyric St/Gordon St (Maribyrnong),Maribyrnong
42,17925,55-Lyric St/Gordon St (Maribyrnong),Maribyrnong
43,18496,53-Maribyrnong College/River St (Maribyrnong),Maribyrnong
44,17923,53-Maribyrnong College/River St (Maribyrnong),Maribyrnong
45,18493,50-Williamson Rd/Wests Rd (Maribyrnong),Maribyrnong
46,17920,50-Wests Rd/Williamson Rd (Maribyrnong),Maribyrnong
47,18495,52-River St/Rosamond Rd (Maribyrnong),Maribyrnong
48,17922,52-Rosamond Rd/River St (Maribyrnong),Maribyrnong
49,18080,39-Mattingley Cres/Melville Rd (Brunswick West),Brunswick West
50,18559,39-McGregor Ave/Melville Rd (Brunswick West),Brunswick West
51,18560,40-Moreland Rd/Melville Rd (Brunswick West),Brunswick West
52,18081,40-Moreland Rd/Melville Rd (Brunswick West),Brunswick West
53,19376,42-Grice Cres/Mt Alexander Rd (Essendon),Essendon
54,19658,42-Shamrock St/Mt Alexander Rd (Essendon),Essendon
55,19659,43-Thistle St/Mt Alexander Rd (Essendon),Essendon
56,19467,43-Brewster St/Mt Alexander Rd (Essendon),Essendon
57,18561,41-Woodlands Ave/Melville Rd (Pascoe Vale South),Pascoe Vale South
58,18082,41-Woodlands Ave/Melville Rd (Pascoe Vale South),Pascoe Vale South
59,19660,44-Thorn St/Mt Alexander Rd (Essendon),Essendon
60,19468,44-Thorn St/Mt Alexander Rd (Essendon),Essendon
61,18562,42-Reynard St/Melville Rd (Pascoe Vale South),Pascoe Vale South
62,19469,45-Glass St/Mt Alexander Rd (Essendon),Essendon
63,18083,42-Reynard St/Melville Rd (Pascoe Vale South),Pascoe Vale South
64,19661,45-Leake St/Mt Alexander Rd (Essendon),Essendon
65,19662,46-Lincoln Rd/Mt Alexander Rd (Essendon),Essendon
66,19663,47-Mt Alexander Rd/Keilor Rd (Essendon),Essendon
67,18563,43-Princes Tce/Melville Rd (Pascoe Vale South),Pascoe Vale South
68,19470,47-Mt Alexander Rd/Keilor Rd (Essendon),Essendon
69,18084,43-Princes Tce/Melville Rd (Pascoe Vale South),Pascoe Vale South
70,19664,48-Service St/Keilor Rd (Essendon),Essendon
71,19471,48-Service St/Keilor Rd (Essendon North),Essendon North
72,18564,44-Brearley Pde/Melville Rd (Pascoe Vale South),Pascoe Vale South
73,19665,49-Essendon North Primary School/Keilor Rd (Essendon North),Essendon North
74,18085,44-Brearley Pde/Melville Rd (Pascoe Vale South),Pascoe Vale South
75,19472,49-Essendon North PS/Keilor Rd (Essendon North),Essendon North
76,19666,50-Cooper St/Keilor Rd (Essendon),Essendon
77,18086,45-Bell St/Melville Rd (Pascoe Vale South),Pascoe Vale South
78,19473,50-Cooper St/Keilor Rd (Essendon North),Essendon North
