,SA3_CODE,SA3_NAME,MEAN_INCOME,MEDIAN_INCOME,BusCount,TrainCount,TramCount
0,20601,Brunswick - Coburg,57370,47638,320.0,5.0,114.0
1,20602,Darebin - South,65332,51911,200.0,8.0,46.0
2,20603,Essendon,69805,53053,215.0,5.0,98.0
3,20604,Melbourne City,70544,47784,254.0,14.0,312.0
4,20605,Port Phillip,82752,57498,245.0,2.0,163.0
5,20606,Stonnington - West,104392,59039,69.0,5.0,114.0
6,20607,Yarra,74676,55698,116.0,9.0,162.0
7,20701,Boroondara,92562,55075,466.0,16.0,273.0
8,20702,Manningham - West,58933,41766,63.0,,
9,20703,Whitehorse - West,60128,44059,428.0,4.0,40.0
10,20801,Bayside,95100,55569,575.0,9.0,11.0
11,20902,Darebin - North,50112,42572,497.0,5.0,56.0
12,20903,Nillumbik - Kinglake,64009,49090,9.0,4.0,
13,20904,Whittlesea - Wallan,49891,44817,787.0,8.0,
14,21001,Keilor,59173,47903,293.0,1.0,14.0
15,21002,Macedon Ranges,61026,47239,,,
16,20802,Glen Eira,69238,50482,535.0,10.0,110.0
17,20803,Kingston,59175,48481,477.0,9.0,
18,20804,Stonnington - East,97067,57316,87.0,6.0,74.0
19,20901,Banyule,61868,48840,558.0,9.0,23.0
20,21003,Moreland - North,50481,43593,344.0,8.0,5.0
21,21004,Sunbury,55165,47653,239.0,2.0,
22,21005,Tullamarine - Broadmeadows,47484,42238,740.0,5.0,
23,21101,Knox,53024,45214,169.0,4.0,
24,21102,Manningham - East,74234,48693,,,
25,21103,Maroondah,54369,45866,,5.0,
26,21104,Whitehorse - East,55818,45053,67.0,2.0,4.0
27,21105,Yarra Ranges,52025,43553,,5.0,
28,21201,Cardinia,51791,44720,46.0,4.0,
29,21202,Casey - North,52410,44308,554.0,3.0,
30,21203,Casey - South,49425,45225,565.0,3.0,
31,21204,Dandenong,43805,39085,968.0,6.0,
32,21205,Monash,55548,42827,772.0,7.0,
33,21301,Brimbank,45995,41377,733.0,6.0,
34,21302,Hobsons Bay,62122,50867,416.0,8.0,
35,21303,Maribyrnong,56097,47362,396.0,6.0,45.0
36,21304,Melton - Bacchus Marsh,52623,47056,507.0,,
37,21305,Wyndham,53274,47367,876.0,5.0,
38,21401,Frankston,50591,44371,609.0,4.0,
39,21402,Mornington Peninsula,55238,40529,522.0,8.0,
