STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"6254","467",144.915979,"1",-37.766236,"Grosvenor St/Holmes Rd (Moonee Ponds)",15397
"6300","467",144.915971,"1",-37.766101,"Grosvenor St/Holmes Rd (Moonee Ponds)",15438
"6253","467",144.913409,"1",-37.765992,"Chester St/Holmes Rd (Moonee Ponds)",15396
"6299","467",144.913231,"1",-37.765863,"Chester St/Holmes Rd (Moonee Ponds)",15436
"6252","467",144.911054,"1",-37.765752,"Darling St/Holmes Rd (Moonee Ponds)",15395
"6298","467",144.910944,"1",-37.765633,"Darling St/Holmes Rd (Moonee Ponds)",15435
"6258","468,467",144.906311,"1",-37.760838,"Park St/Waverley St (Moonee Ponds)",15400
"6294","468,467",144.906507,"1",-37.760346,"Park St/Waverley St (Moonee Ponds)",15431
"45121","483",144.914291,"1",-37.759628,"Lowther Hall Grammar School/Leslie Rd (Essendon)",16971
"6293","468,467",144.906844,"1",-37.758441,"Alma St/Waverley St (Essendon)",15430
"6247","468,467",144.906806,"1",-37.758188,"Alma St/Waverley St (Essendon)",15390
"6292","467",144.906792,"1",-37.7579,"Waverley St/Alma St (Essendon)",15429
"6246","467",144.904504,"1",-37.757715,"Combermere St/Alma St (Aberfeldie)",15389
"6291","467",144.904065,"1",-37.757572,"Combermere St/Alma St (Moonee Ponds)",15428
"7255","476,477,483,469",144.91879,"1",-37.757481,"Buckley St/Mt Alexander Rd (Essendon)",16819
"6245","467",144.902072,"1",-37.757419,"Beaver St/Alma St (Aberfeldie)",15388
"20751","510",144.919796,"1",-37.757229,"Salvation Army Church/Buckley St (Essendon)",6643
"6239","468,903,465",144.91454,"1",-37.756838,"St Columba's College/Buckley St (Essendon)",15383
"6301","468,903,465",144.912616,"1",-37.756615,"Lorraine St/Buckley St (Essendon)",15439
"18773","476,477,483,469",144.916636,"1",-37.75656,"Essendon Station/Russell St (Essendon)",5975
"6238","468,903,465",144.910806,"1",-37.756412,"Robb St/Buckley St (Essendon)",15382
"6255","468,903,465",144.910596,"1",-37.756219,"Daisy St/Buckley St (Essendon)",15398
"51773","510",144.916715,"1",-37.756183,"Essendon Station/Russell St (Essendon)",17607
"6237","468,903,465",144.908611,"1",-37.756175,"Scott St/Buckley St (Essendon)",15381
"51771","903",144.917919,"1",-37.756159,"Essendon Station/Mt Alexander Rd (Essendon)",17606
"18775","465",144.915845,"1",-37.756042,"Essendon Station/Rose St (Essendon)",5977
"18772","476,477,483,469",144.916584,"1",-37.755991,"Essendon Station/Russell St (Essendon)",5974
"6256","468,483,903,465",144.908514,"1",-37.755984,"Lincoln Rd/Buckley St (Essendon)",15399
