STOP_ID, ROUTES_USING_STOP, LONGITUDE, TICKETZONE, LATITUDE, STOP_NAME, OBJECTID
"20038","Craigieburn",144.919161,"1",-37.765707,"Moonee Ponds Railway Station (Moonee Ponds)",204
"20015","Mernda",144.997056,"1",-37.764101,"Croxton Railway Station (Northcote)",186
"19967","Upfield",144.960684,"1",-37.761242,"Anstey Railway Station (Brunswick)",143
"20003","Sunbury",144.811348,"2",-37.760067,"Ginifer Railway Station (St Albans)",174
"20037","Craigieburn",144.916198,"1",-37.756012,"Essendon Railway Station (Essendon)",203
"20014","Mernda",144.998572,"1",-37.755052,"Thornbury Railway Station (Thornbury)",185
"19966","Upfield",144.961823,"1",-37.754485,"Moreland Railway Station (Coburg)",142
"20036","Craigieburn",144.920939,"1",-37.74721,"Glenbervie Railway Station (Essendon)",202
"20013","Mernda",145.000155,"1",-37.745562,"Bell Railway Station (Preston)",184
"20002","Sunbury",144.80005,"2",-37.744861,"St Albans Railway Station (St Albans)",173
"20035","Craigieburn",144.927316,"1",-37.743591,"Strathmore Railway Station (Strathmore)",201
"19965","Upfield",144.963336,"1",-37.742345,"Coburg Railway Station (Coburg)",141
"20012","Mernda",145.000522,"1,2",-37.738674,"Preston Railway Station (Preston)",183
"19964","Upfield",144.962841,"1,2",-37.733523,"Batman Railway Station (Coburg North)",140
"20034","Craigieburn",144.928196,"1,2",-37.730756,"Pascoe Vale Railway Station (Pascoe Vale)",200
"20001","Sunbury",144.793738,"2",-37.729279,"Keilor Plains Railway Station (St Albans)",172
"20011","Mernda",145.002773,"1,2",-37.728403,"Regent Railway Station (Reservoir)",182
"19963","Upfield",144.961314,"1,2",-37.720934,"Merlynston Railway Station (Coburg North)",139
"20033","Craigieburn",144.921519,"1,2",-37.71795,"Oak Park Railway Station (Oak Park)",199
"20010","Mernda",145.006996,"1,2",-37.716885,"Reservoir Railway Station (Reservoir)",181
"19962","Upfield",144.960545,"1,2",-37.714621,"Fawkner Railway Station (Fawkner)",138
"20009","Mernda",145.009517,"2",-37.707898,"Ruthven Railway Station (Reservoir)",180
"20032","Craigieburn",144.91722,"1,2",-37.704536,"Glenroy Railway Station (Glenroy)",198
"20000","Sunbury",144.77418,"2",-37.701129,"Watergardens Railway Station (Sydenham)",171
"19961","Upfield",144.958874,"2",-37.700678,"Gowrie Railway Station (Glenroy)",137
"20031","Craigieburn",144.915851,"2",-37.695131,"Jacana Railway Station (Glenroy)",197
"20008","Mernda",145.011884,"2",-37.69487,"Keon Park Railway Station (Thomastown)",179
"20030","Craigieburn",144.919613,"2",-37.683049,"Broadmeadows Railway Station (Broadmeadows)",196
"20007","Mernda",145.014279,"2",-37.680338,"Thomastown Railway Station (Thomastown)",178
"19960","Upfield",144.94674,"2",-37.666078,"Upfield Railway Station (Coolaroo)",136
"20006","Mernda",145.017193,"2",-37.665851,"Lalor Railway Station (Lalor)",177
"44817","Craigieburn",144.926056,"2",-37.661003,"Coolaroo Railway Station (Coolaroo)",212
"20005","Mernda",145.031068,"2",-37.652187,"Epping Railway Station (Epping)",176
"40220","Craigieburn",144.935404,"2",-37.638231,"Roxburgh Park Railway Station (Roxburgh Park)",210
"15353","Sunbury",144.719922,"2",-37.627017,"Diggers Rest Railway Station (Diggers Rest)",2
"40221","Craigieburn",144.94332,"2",-37.601817,"Craigieburn Railway Station (Craigieburn)",211
"15351","Sunbury",144.727319,"2",-37.579091,"Sunbury Railway Station (Sunbury)",1
"19893","Lilydale,Belgrave",145.081224,"1,2",-37.824485,"Canterbury Railway Station (Canterbury)",69
"19894","Lilydale,Belgrave",145.088648,"1,2",-37.8243,"Chatham Railway Station (Surrey Hills)",70
"19895","Lilydale,Belgrave",145.098775,"1,2",-37.824148,"Surrey Hills Railway Station (Surrey Hills)",71
"19908","Belgrave,Cranbourne,Frankston,Glen Waverley,Lilydale,Pakenham,Sandringham,Alamein",144.990164,"1",-37.824074,"Richmond Railway Station (Richmond)",84
"19903","Belgrave,Lilydale,Alamein",145.045844,"1",-37.822398,"Auburn Railway Station (Hawthorn East)",79
"19905","Belgrave,Lilydale,Alamein",145.022899,"1",-37.821826,"Hawthorn Railway Station (Hawthorn)",81
"19904","Belgrave,Lilydale,Alamein",145.036439,"1",-37.821467,"Glenferrie Railway Station (Hawthorn)",80
"19897","Lilydale,Belgrave",145.140703,"2",-37.82078,"Laburnum Railway Station (Blackburn)",73
"19899","Lilydale,Belgrave",145.175237,"2",-37.820428,"Nunawading Railway Station (Nunawading)",75
"19898","Lilydale,Belgrave",145.150014,"2",-37.820071,"Blackburn Railway Station (Blackburn)",74
"19896","Lilydale,Belgrave",145.10553,"1,2",-37.819427,"Mont Albert Railway Station (Mont Albert)",72
"20042","Lilydale,Belgrave",145.121429,"2",-37.819222,"Box Hill Railway Station (Box Hill)",208
"19901","Lilydale,Belgrave",145.21355,"2",-37.818835,"Heatherdale Railway Station (Ringwood)",77
"19900","Lilydale,Belgrave",145.192892,"2",-37.818087,"Mitcham Railway Station (Mitcham)",76
"19979","Mernda,Hurstbridge",144.984098,"1",-37.816527,"Jolimont-MCG Railway Station (East Melbourne)",155
