sa2_name_2016, yr, sa2_maincode_2016
Eltham,2019,209031209
Bayswater,2019,211011251
South Morang (South),2019,209041436
Monbulk - Silvan,2019,211051279
Mooroolbark,2019,211051281
Brunswick,2019,206011105
Brunswick East,2019,206011106
Brunswick West,2019,206011107
Essendon - Aberfeldie,2019,206031114
Coburg,2019,206011108
Flemington,2019,206031115
Pascoe Vale South,2019,206011109
Hurstbridge,2019,209031210
Alphington - Fairfield,2019,206021110
Kinglake,2019,209031211
Northcote,2019,206021111
Thornbury,2019,206021112
Flemington Racecourse,2019,206041120
Ascot Vale,2019,206031113
Panton Hill - St Andrews,2019,209031212
Moonee Ponds,2019,206031116
Carlton,2019,206041117
Docklands,2019,206041118
Plenty - Yarrambat,2019,209031213
East Melbourne,2019,206041119
Melbourne,2019,206041122
Kensington (Vic.),2019,206041121
West Melbourne,2019,206041127
North Melbourne,2019,206041123
Parkville,2019,206041124
Research - North Warrandyte,2019,209031214
South Yarra - West,2019,206041125
Southbank,2019,206041126
Fitzroy,2019,206071142
Richmond (Vic.),2019,206071144
Albert Park,2019,206051128
Elwood,2019,206051129
Port Melbourne,2019,206051130
Prahran - Windsor,2019,206061136
Port Melbourne Industrial,2019,206051131
St Kilda East,2019,206051134
South Melbourne,2019,206051132
Armadale,2019,206061135
St Kilda,2019,206051133
South Yarra - East,2019,206061137
Carlton North - Princes Hill,2019,206071140
Yarra - North,2019,206071145
Toorak,2019,206061138
Collingwood,2019,206071141
Wollert,2019,209041437
Abbotsford,2019,206071139
Fitzroy North,2019,206071143
Balwyn North,2019,207011148
Ashburton (Vic.),2019,207011146
Hawthorn,2019,207011151
Balwyn,2019,207011147
Kew,2019,207011153
Bulleen,2019,207021156
Camberwell,2019,207011149
Doncaster,2019,207021157
Glen Iris - East,2019,207011150
Hawthorn East,2019,207011152
Templestowe,2019,207021159
Kew East,2019,207011154
Doncaster East (North),2019,207021424
Surrey Hills (West) - Canterbury,2019,207011155
Doncaster East (South),2019,207021425
Blackburn,2019,207031161
Mulgrave,2019,212051325
Templestowe Lower,2019,207021160
Blackburn South,2019,207031162
Box Hill North,2019,207031164
Aspendale Gardens - Waterways,2019,208031183
Box Hill,2019,207031163
Cheltenham - Highett (West),2019,208011171
Burwood East,2019,207031166
Burwood,2019,207031165
Surrey Hills (East) - Mont Albert,2019,207031167
Keilor,2019,210011228
Beaumaris,2019,208011168
Keilor East,2019,210011229
Niddrie - Essendon West,2019,210011230
Brighton (Vic.),2019,208011169
Brighton East,2019,208011170
Hampton,2019,208011172
Gisborne,2019,210021232
Sandringham - Black Rock,2019,208011173
Bentleigh - McKinnon,2019,208021174
Carnegie,2019,208021176
Caulfield - South,2019,208021178
Caulfield - North,2019,208021177
Riddells Creek,2019,210021234
Elsternwick,2019,208021179
Hughesdale,2019,208021180
Murrumbeena,2019,208021181
Ormond - Glen Huntly,2019,208021182
Bentleigh East (North),2019,208021426
Romsey,2019,210021235
Bentleigh East (South),2019,208021427
Chelsea Heights,2019,208031187
Braeside,2019,208031184
Kingsbury,2019,209021205
Carrum - Patterson Lakes,2019,208031185
Reservoir - East,2019,209021207
Reservoir - West,2019,209021208
Chelsea - Bonbeach,2019,208031186
Cheltenham - Highett (East),2019,208031188
Epping - South,2019,209041432
Edithvale - Aspendale,2019,208031189
Lalor,2019,209041219
Mentone,2019,208031190
Mernda,2019,209041434
Moorabbin - Heatherton,2019,208031191
Bundoora - East,2019,209011196
Greensborough,2019,209011197
Mordialloc - Parkdale,2019,208031193
Ivanhoe,2019,209011200
Montmorency - Briar Hill,2019,209011202
Malvern - Glen Iris,2019,208041194
Malvern East,2019,208041195
Viewbank - Yallambie,2019,209011203
Mill Park - South,2019,209041221
Thomastown,2019,209041223
Heidelberg - Rosanna,2019,209011198
Heidelberg West,2019,209011199
Ivanhoe East - Eaglemont,2019,209011201
Watsonia,2019,209011204
Preston - East,2019,209021428
Preston - West,2019,209021429
Wallan,2019,209041224
Wattle Glen - Diamond Creek,2019,209031215
Whittlesea,2019,209041225
Doreen,2019,209041430
Bundoora - North,2019,209041216
Bundoora - West,2019,209041217
South Morang (North),2019,209041435
Mill Park - North,2019,209041220
Epping - East,2019,209041431
Epping - West,2019,209041433
Fawkner,2019,210031237
Airport West,2019,210011226
Knoxfield - Scoresby,2019,211011254
Boronia,2019,211011446
Strathmore,2019,210011231
Macedon,2019,210021233
Donvale - Park Orchards,2019,211021261
Coburg North,2019,210031236
Sunbury,2019,210041240
Pascoe Vale,2019,210031239
Sunbury - South,2019,210041241
Glenroy,2019,210031438
Gowanbrae,2019,210031439
Hadfield,2019,210031440
Greenvale - Bulla,2019,210051246
Melbourne Airport,2019,210051248
Broadmeadows,2019,210051242
Campbellfield - Coolaroo,2019,210051243
Craigieburn - North,2019,210051442
Gladstone Park - Westmeadows,2019,210051245
Meadow Heights,2019,210051247
Rowville - South,2019,211011258
Cranbourne East,2019,212031301
Roxburgh Park - Somerton,2019,210051249
Tullamarine,2019,210051250
Mickleham - Yuroke,2019,210051445
Craigieburn - Central,2019,210051441
Craigieburn - South,2019,210051443
Craigieburn - West,2019,210051444
Wantirna,2019,211011259
Lysterfield,2019,211011255
Wantirna South,2019,211011260
Rowville - Central,2019,211011256
Rowville - North,2019,211011257
Warrandyte - Wonga Park,2019,211021262
Ferntree Gully (North),2019,211011447
Mitcham (Vic.),2019,211041270
Nunawading,2019,211041271
Ferntree Gully (South) - Upper Ferntree Gully,2019,211011448
Ringwood,2019,211031266
Ringwood East,2019,211031267
Vermont South,2019,211041273
The Basin,2019,211011449
