STOP_ID, STOP_NAME,SA2_NAME,SA3_CODE,SA2_CODE
6254,Grosvenor St/Holmes Rd (Moonee Ponds),Moonee Ponds,20603,206031116
6300,Grosvenor St/Holmes Rd (Moonee Ponds),Moonee Ponds,20603,206031116
6253,Chester St/Holmes Rd (Moonee Ponds),Moonee Ponds,20603,206031116
6299,Chester St/Holmes Rd (Moonee Ponds),Moonee Ponds,20603,206031116
6252,Darling St/Holmes Rd (Moonee Ponds),Moonee Ponds,20603,206031116
6298,Darling St/Holmes Rd (Moonee Ponds),Moonee Ponds,20603,206031116
6258,Park St/Waverley St (Moonee Ponds),Moonee Ponds,20603,206031116
6294,Park St/Waverley St (Moonee Ponds),Moonee Ponds,20603,206031116
45121,Lowther Hall Grammar School/Leslie Rd (Essendon),Essendon,20603,206031114
6293,Alma St/Waverley St (Essendon),Essendon,20603,206031114
6247,Alma St/Waverley St (Essendon),Essendon,20603,206031114
6292,Waverley St/Alma St (Essendon),Essendon,20603,206031114
6246,Combermere St/Alma St (Aberfeldie),Aberfeldie,20603,206031114
6291,Combermere St/Alma St (Moonee Ponds),Moonee Ponds,20603,206031116
7255,Buckley St/Mt Alexander Rd (Essendon),Essendon,20603,206031114
6245,Beaver St/Alma St (Aberfeldie),Aberfeldie,20603,206031114
20751,Salvation Army Church/Buckley St (Essendon),Essendon,20603,206031114
6239,St Columba's College/Buckley St (Essendon),Essendon,20603,206031114
6301,Lorraine St/Buckley St (Essendon),Essendon,20603,206031114
18773,Essendon Station/Russell St (Essendon),Essendon,20603,206031114
6238,Robb St/Buckley St (Essendon),Essendon,20603,206031114
6255,Daisy St/Buckley St (Essendon),Essendon,20603,206031114
51773,Essendon Station/Russell St (Essendon),Essendon,20603,206031114
6237,Scott St/Buckley St (Essendon),Essendon,20603,206031114
51771,Essendon Station/Mt Alexander Rd (Essendon),Essendon,20603,206031114
18775,Essendon Station/Rose St (Essendon),Essendon,20603,206031114
18772,Essendon Station/Russell St (Essendon),Essendon,20603,206031114
6256,Lincoln Rd/Buckley St (Essendon),Essendon,20603,206031114
18771,Essendon Station/Russell St (Essendon),Essendon,20603,206031114
51775,Essendon Station/Rose St (Essendon),Essendon,20603,206031114
6236,Combermere St/Buckley St (Aberfeldie),Aberfeldie,20603,206031114
6283,McCarron Pde/Buckley St (Essendon),Essendon,20603,206031114
6235,St Kinnord St/Buckley St (Aberfeldie),Aberfeldie,20603,206031114
18774,Essendon Station/Rose St (Essendon),Essendon,20603,206031114
6102,Essendon Keilor College/Buckley St (Essendon),Essendon,20603,206031114
6101,Hedderwick St/Buckley St (Essendon),Essendon,20603,206031114
6804,Raleigh St/Napier St (Essendon),Essendon,20603,206031114
6697,Raleigh St/Napier St (Essendon),Essendon,20603,206031114
27864,Shamrock St/Richardson St (Essendon),Essendon,20603,206031114
45127,Penleigh & Essendon Grammar Junior School/Raleigh St (Essendon),Essendon,20603,206031114
7023,Shamrock St/Richardson St (Essendon),Essendon,20603,206031114
7025,Lincoln Rd/Florence St (Essendon),Essendon,20603,206031114
7024,Florence St/Thistle St (Essendon),Essendon,20603,206031114
6902,Lincoln Rd/Florence St (Essendon),Essendon,20603,206031114
10746,Shaftesbury St/Brewster St (Essendon),Essendon,20603,206031114
6901,Florence St/Thistle St (Essendon),Essendon,20603,206031114
10547,Kalimna St/Brewster St (Essendon),Essendon,20603,206031114
10548,Peterleigh Gr/Brewster St (Essendon),Essendon,20603,206031114
7027,Balmoral St/Woolley St (Essendon),Essendon,20603,206031114
27854,Caroline Springs Station/Christies Rd (Ravenhall),Ravenhall,21304,213040000
51389,Caroline Springs Station/Christies Rd (Ravenhall),Ravenhall,21304,213040000
51387,Lakeside Reserve/Caroline Springs Bvd (Caroline Springs),Caroline Springs,21304,213041463
51388,Lakeside Reserve/Caroline Springs Bvd (Caroline Springs),Caroline Springs,21304,213041463
21341,William Cct/Chisholm Dr (Burnside),Burnside,21304,213041461
21342,Emerald Ct/Chisholm Dr (Burnside),Burnside,21304,213041461
1418,Billungah Pl/Westwood Dr (Burnside),Burnside,21304,213041461
21344,Flintoff Ave/Kelly Ave (Burnside),Burnside,21304,213041461
21343,Flintoff Ave/Kelly Ave (Burnside),Burnside,21304,213041461
3249,Billungah Pl/Westwood Dr (Burnside),Burnside,21304,213041461
21340,Caroline Springs Bvd/Chisholm Dr (Burnside),Burnside,21304,213041461
21339,Caroline Springs Bvd/Chisholm Dr (Burnside),Burnside,21304,213041461
2144,Chisholm Dr/Caroline Springs Bvd (Caroline Springs),Caroline Springs,21304,213041463
6662,Chisholm Dr/Caroline Springs Bvd (Caroline Springs),Caroline Springs,21304,213041463
20278,Carinya Bvd/Westwood Dr (Burnside),Burnside,21304,213041461
3248,Roycroft Ave/Westwood Dr (Burnside),Burnside,21304,213041461
3247,Tarcoola Dr/Westwood Dr (Burnside),Burnside,21304,213041461
6663,Daylesford Tce/Caroline Springs Bvd (Caroline Springs),Caroline Springs,21304,213041463
2532,Daylesford Tce/Caroline Springs Bvd (Caroline Springs),Caroline Springs,21304,213041463
20280,Earlington Bvd/Westwood Dr (Burnside),Burnside,21304,213041461
27871,Grampians Way/The Parkway (Caroline Springs),Caroline Springs,21304,213041463
