STOP_ID, STOP_NAME,SA2_NAME,SA3_CODE,SA2_CODE
20038,Moonee Ponds Railway Station (Moonee Ponds),Moonee Ponds,20603,206031116
20015,Croxton Railway Station (Northcote),Northcote,20602,206021111
19967,Anstey Railway Station (Brunswick),Brunswick,20601,206011105
20003,Ginifer Railway Station (St Albans),St Albans,21301,213011334
20037,Essendon Railway Station (Essendon),Essendon,20603,206031114
20014,Thornbury Railway Station (Thornbury),Thornbury,20602,206021112
19966,Moreland Railway Station (Coburg),Coburg,20601,206011108
20036,Glenbervie Railway Station (Essendon),Essendon,20603,206031114
20013,Bell Railway Station (Preston),Preston,20902,209021428
20002,St Albans Railway Station (St Albans),St Albans,21301,213011334
20035,Strathmore Railway Station (Strathmore),Strathmore,21001,210011231
19965,Coburg Railway Station (Coburg),Coburg,20601,206011108
20012,Preston Railway Station (Preston),Preston,20902,209021428
19964,Batman Railway Station (Coburg North),Coburg North,21003,210031236
20034,Pascoe Vale Railway Station (Pascoe Vale),Pascoe Vale,21003,210031239
20001,Keilor Plains Railway Station (St Albans),St Albans,21301,213011334
20011,Regent Railway Station (Reservoir),Reservoir,20902,209021207
19963,Merlynston Railway Station (Coburg North),Coburg North,21003,210031236
20033,Oak Park Railway Station (Oak Park),Oak Park,21003,210031239
20010,Reservoir Railway Station (Reservoir),Reservoir,20902,209021207
19962,Fawkner Railway Station (Fawkner),Fawkner,21003,210031237
20009,Ruthven Railway Station (Reservoir),Reservoir,20902,209021207
20032,Glenroy Railway Station (Glenroy),Glenroy,21003,210031438
20000,Watergardens Railway Station (Sydenham),Sydenham,21301,213011339
19961,Gowrie Railway Station (Glenroy),Glenroy,21003,210031438
20031,Jacana Railway Station (Glenroy),Glenroy,21003,210031438
20008,Keon Park Railway Station (Thomastown),Thomastown,20904,209041223
20030,Broadmeadows Railway Station (Broadmeadows),Broadmeadows,21005,210051242
20007,Thomastown Railway Station (Thomastown),Thomastown,20904,209041223
19960,Upfield Railway Station (Coolaroo),Coolaroo,21005,210051243
20006,Lalor Railway Station (Lalor),Lalor,20904,209041219
44817,Coolaroo Railway Station (Coolaroo),Coolaroo,21005,210051243
20005,Epping Railway Station (Epping),Epping,20904,209041432
40220,Roxburgh Park Railway Station (Roxburgh Park),Roxburgh Park,21005,210051249
15353,Diggers Rest Railway Station (Diggers Rest),Diggers Rest,21004,210041241
40221,Craigieburn Railway Station (Craigieburn),Craigieburn,21005,210051442
15351,Sunbury Railway Station (Sunbury),Sunbury,21004,210041240
19893,Canterbury Railway Station (Canterbury),Canterbury,20701,207011155
19894,Chatham Railway Station (Surrey Hills),Surrey Hills,20701,207011155
19895,Surrey Hills Railway Station (Surrey Hills),Surrey Hills,20701,207011155
19908,Richmond Railway Station (Richmond),Richmond,20607,206071144
19903,Auburn Railway Station (Hawthorn East),Hawthorn East,20701,207011152
19905,Hawthorn Railway Station (Hawthorn),Hawthorn,20701,207011151
19904,Glenferrie Railway Station (Hawthorn),Hawthorn,20701,207011151
19897,Laburnum Railway Station (Blackburn),Blackburn,20703,207031161
19899,Nunawading Railway Station (Nunawading),Nunawading,21104,211041271
