SA2_NAME,SA3_CODE,SA2_CODE
Eltham,20903,209031209
Bayswater,21101,211011251
South Morang,20904,209041436
Monbulk,21105,211051279
Silvan,21105,211051279
Mooroolbark,21105,211051281
Brunswick,20601,206011105
Brunswick East,20601,206011106
Brunswick West,20601,206011107
Essendon,20603,206031114
Aberfeldie,20603,206031114
Coburg,20601,206011108
Flemington,20603,206031115
Pascoe Vale South,20601,206011109
Hurstbridge,20903,209031210
Alphington,20602,206021110
Fairfield,20602,206021110
Kinglake,20903,209031211
Northcote,20602,206021111
Thornbury,20602,206021112
Flemington Racecourse,20604,206041120
Ascot Vale,20603,206031113
Panton Hill,20903,209031212
St Andrews,20903,209031212
Moonee Ponds,20603,206031116
Carlton,20604,206041117
Docklands,20604,206041118
Plenty,20903,209031213
Yarrambat,20903,209031213
East Melbourne,20604,206041119
Melbourne,20604,206041122
Kensington,20604,206041121
West Melbourne,20604,206041127
North Melbourne,20604,206041123
Parkville,20604,206041124
Research,20903,209031214
North Warrandyte,20903,209031214
South Yarra,20604,206041125
Southbank,20604,206041126
Fitzroy,20607,206071142
Richmond,20607,206071144
Albert Park,20605,206051128
Elwood,20605,206051129
Port Melbourne,20605,206051130
Prahran,20606,206061136
Windsor,20606,206061136
Port Melbourne Industrial,20605,206051131
St Kilda East,20605,206051134
South Melbourne,20605,206051132
Armadale,20606,206061135
St Kilda,20605,206051133
Carlton North,20607,206071140
Princes Hill,20607,206071140
Yarra,20607,206071145
Toorak,20606,206061138
Collingwood,20607,206071141
Wollert,20904,209041437
Abbotsford,20607,206071139
Fitzroy North,20607,206071143
Balwyn North,20701,207011148
Ashburton,20701,207011146
Hawthorn,20701,207011151
Balwyn,20701,207011147
Kew,20701,207011153
Bulleen,20702,207021156
Camberwell,20701,207011149
Doncaster,20702,207021157
Glen Iris,20701,207011150
Hawthorn East,20701,207011152
Templestowe,20702,207021159
Kew East,20701,207011154
Doncaster East,20702,207021424
Surrey Hills,20701,207011155
Canterbury,20701,207011155
Blackburn,20703,207031161
Mulgrave,21205,212051325
Templestowe Lower,20702,207021160
Blackburn South,20703,207031162
Box Hill North,20703,207031164
Aspendale Gardens,20803,208031183
Waterways,20803,208031183
Box Hill,20703,207031163
Cheltenham,20801,208011171
Highett,20801,208011171
Burwood East,20703,207031166
Burwood,20703,207031165
Mont Albert,20703,207031167
Keilor,21001,210011228
Beaumaris,20801,208011168
Keilor East,21001,210011229
Niddrie,21001,210011230
Essendon West,21001,210011230
Brighton,20801,208011169
Brighton East,20801,208011170
Hampton,20801,208011172
Gisborne,21002,210021232
Sandringham,20801,208011173
Black Rock,20801,208011173
Bentleigh,20802,208021174
McKinnon,20802,208021174
Carnegie,20802,208021176
Caulfield,20802,208021178
Riddells Creek,21002,210021234
Elsternwick,20802,208021179
Hughesdale,20802,208021180
Murrumbeena,20802,208021181
Ormond,20802,208021182
Glen Huntly,20802,208021182
Bentleigh East,20802,208021426
Romsey,21002,210021235
Chelsea Heights,20803,208031187
Braeside,20803,208031184
Kingsbury,20902,209021205
Carrum,20803,208031185
Patterson Lakes,20803,208031185
Reservoir,20902,209021207
Chelsea,20803,208031186
Bonbeach,20803,208031186
Epping,20904,209041432
Edithvale,20803,208031189
Aspendale,20803,208031189
Lalor,20904,209041219
Mentone,20803,208031190
Mernda,20904,209041434
Moorabbin,20803,208031191
Heatherton,20803,208031191
Bundoora,20901,209011196
Greensborough,20901,209011197
Mordialloc,20803,208031193
Parkdale,20803,208031193
Ivanhoe,20901,209011200
Montmorency,20901,209011202
Briar Hill,20901,209011202
Malvern,20804,208041194
Malvern East,20804,208041195
Viewbank,20901,209011203
Yallambie,20901,209011203
Mill Park,20904,209041221
Thomastown,20904,209041223
Heidelberg,20901,209011198
Rosanna,20901,209011198
Heidelberg West,20901,209011199
Ivanhoe East,20901,209011201
Eaglemont,20901,209011201
Watsonia,20901,209011204
Preston,20902,209021428
Wallan,20904,209041224
Wattle Glen,20903,209031215
Diamond Creek,20903,209031215
Whittlesea,20904,209041225
Doreen,20904,209041430
Fawkner,21003,210031237
Airport West,21001,210011226
Knoxfield,21101,211011254
Scoresby,21101,211011254
Boronia,21101,211011446
Strathmore,21001,210011231
Macedon,21002,210021233
Donvale,21102,211021261
Park Orchards,21102,211021261
Coburg North,21003,210031236
Sunbury,21004,210041240
Pascoe Vale,21003,210031239
Glenroy,21003,210031438
Gowanbrae,21003,210031439
Hadfield,21003,210031440
Greenvale,21005,210051246
Bulla,21005,210051246
Melbourne Airport,21005,210051248
Broadmeadows,21005,210051242
Campbellfield,21005,210051243
Coolaroo,21005,210051243
Craigieburn,21005,210051442
