SA3_CODE,SA3_NAME,LAND_AREA_KM2,PEOPLE_PER_BUS,PEOPLE_PER_TRAIN,PEOPLE_PER_TRAM
20601,Brunswick - Coburg,20.4133,287.315625,18388.2,806.5
20602,Darebin - South,14.0275,277.18,6929.5,1205.1304347826087
20603,Essendon,18.215,327.13953488372096,14067.0,717.704081632653
20604,Melbourne City,31.4622,575.1929133858267,10435.642857142857,468.26602564102564
20605,Port Phillip,25.6958,443.41632653061225,54318.5,666.4846625766871
20606,Stonnington - West,11.9294,975.072463768116,13456.0,590.1754385964912
20607,Yarra,20.6163,808.1293103448276,10415.888888888889,578.6604938271605
20701,Boroondara,60.0157,380.4206008583691,11079.75,649.3626373626373
20702,Manningham - West,48.6724,1513.6666666666667,,
20703,Whitehorse - West,38.0551,249.89018691588785,26738.25,2673.825
20801,Bayside,37.2111,178.97739130434783,11434.666666666666,9355.636363636364
20902,Darebin - North,39.4436,200.58350100603622,19938.0,1780.1785714285713
20903,Nillumbik - Kinglake,751.7682,7573.111111111111,17039.5,
20904,Whittlesea - Wallan,997.4394,284.37738246505717,27975.625,
21001,Keilor,42.425,209.9419795221843,61513.0,4393.785714285715
21002,Macedon Ranges,992.107,,,
20802,Glen Eira,40.7002,292.7495327102804,15662.1,1423.8272727272727
20803,Kingston,69.8633,257.25576519916143,13634.555555555555,
20804,Stonnington - East,13.722,502.5632183908046,7287.166666666667,590.8513513513514
20901,Banyule,62.6133,228.39964157706092,14160.777777777777,5541.173913043478
21003,Moreland - North,30.3779,231.125,9938.375,15901.4
21004,Sunbury,260.6847,171.23012552301256,20462.0,
21005,Tullamarine - Broadmeadows,294.0954,227.78378378378378,33712.0,
21101,Knox,118.3019,949.112426035503,40100.0,
21102,Manningham - East,66.5619,,,
21103,Maroondah,61.1872,,22869.4,
21104,Whitehorse - East,26.5696,946.9104477611941,31721.5,15860.75
21105,Yarra Ranges,1605.937,,30882.2,
21201,Cardinia,1282.327,2124.695652173913,24434.0,
21202,Casey - North,116.503,247.74909747292418,45751.0,
21203,Casey - South,292.9259,310.68318584070795,58512.0,
21204,Dandenong,151.0513,202.94628099173553,32742.0,
21205,Monash,79.4733,239.1023316062176,26369.571428571428,
21301,Brimbank,106.8497,266.3042291950887,32533.5,
21302,Hobsons Bay,62.2158,212.54567307692307,11052.375,
21303,Maribyrnong,31.2254,219.55050505050505,14490.333333333334,1932.0444444444445
21304,Melton - Bacchus Marsh,671.9436,315.5069033530572,,
21305,Wyndham,544.1195,264.87899543378995,46406.8,
21401,Frankston,129.59799999999998,229.06732348111657,34875.5,
21402,Mornington Peninsula,724.1679,309.4406130268199,20191.0,
