SA3_CODE,SA3_NAME,TOTAL_INCOME,TOTAL_INCOME_/_BUS_STOP,TOTAL_INCOME_/_TRAIN_STOP,TOTAL_INCOME_/_TRAM_STOP
20601,Brunswick - Coburg,5274655170,16483297.40625,1054931034.0,46268905.0
20602,Darebin - South,3621744752,18108723.76,452718094.0,78733581.56521739
20603,Essendon,4909734675,22835975.23255814,981946935.0,50099333.41836735
20604,Melbourne City,10306407856,40576408.88188976,736171989.7142857,33033358.512820512
20605,Port Phillip,8989929024,36693587.85306122,4494964512.0,55152938.797546014
20606,Stonnington - West,7023493760,101789764.63768116,1404698752.0,61609594.385964915
20607,Yarra,7000352268,60347864.37931035,777816918.6666666,43212051.03703704
20701,Boroondara,16409021112,35212491.65665236,1025563819.5,60106304.43956044
20702,Manningham - West,5619909813,89204917.66666667,,
20703,Whitehorse - West,6430869984,15025397.158878505,1607717496.0,160771749.6
20801,Bayside,9786931200,17020749.913043477,1087436800.0,889721018.1818181
20902,Darebin - North,4995665280,10051640.402414488,999133056.0,89208308.57142857
20903,Nillumbik - Kinglake,4362725422,484747269.1111111,1090681355.5,
20904,Whittlesea - Wallan,11165855255,14187871.988564167,1395731906.875,
21001,Keilor,3639908749,12422896.754266212,3639908749.0,259993482.07142857
21002,Macedon Ranges,1871911524,,,
20802,Glen Eira,10844124798,20269392.14579439,1084412479.8,98582952.7090909
20803,Kingston,7261423425,15223109.905660378,806824825.0,
20804,Stonnington - East,4244060441,48782303.91954023,707343406.8333334,57352168.12162162
20901,Banyule,7884890996,14130629.025089607,876098999.5555556,342821347.65217394
21003,Moreland - North,4013592867,11667421.125,501699108.375,802718573.4
21004,Sunbury,2257572460,9445909.874476988,1128786230.0,
21005,Tullamarine - Broadmeadows,8003903040,10816085.18918919,1600780608.0,
21101,Knox,8505049600,50325737.27810651,2126262400.0,
21102,Manningham - East,2028666752,,,
21103,Maroondah,6216932043,,1243386408.6,
21104,Whitehorse - East,3541261374,52854647.37313433,1770630687.0,885315343.5
21105,Yarra Ranges,8033232275,,1606646455.0,
21201,Cardinia,5061845176,110040112.52173913,1265461294.0,
21202,Casey - North,7193429730,12984530.198555958,2397809910.0,
21203,Casey - South,8675866800,15355516.460176991,2891955600.0,
21204,Dandenong,8605579860,8890061.838842975,1434263310.0,
21205,Monash,10253438676,13281656.316062177,1464776953.7142856,
21301,Brimbank,8978269995,12248663.021828104,1496378332.5,
21302,Hobsons Bay,5492765118,13203762.302884616,686595639.75,
21303,Maribyrnong,4877185374,12316124.681818182,812864229.0,108381897.2
21304,Melton - Bacchus Marsh,8417680326,16602919.77514793,,
21305,Wyndham,12361379316,14111163.602739725,2472275863.2,
21401,Frankston,7057545682,11588744.962233169,1764386420.5,
21402,Mornington Peninsula,8922483664,17092880.582375478,1115310458.0,
