SA3_CODE,SA3_NAME,POPULATION,POP_DENSITY_KM2,LAND_AREA_KM2,MEAN_INCOME,MEDIAN_INCOME,TOTAL_INCOME,BusCount,TrainCount,TramCount
20601,Brunswick - Coburg,91941,4504.0,20.4133,57370,47638,5274655170,320.0,5.0,114.0
20602,Darebin - South,55436,3952.0,14.0275,65332,51911,3621744752,200.0,8.0,46.0
20603,Essendon,70335,3861.4,18.215,69805,53053,4909734675,215.0,5.0,98.0
20604,Melbourne City,146099,4643.6,31.4622,70544,47784,10306407856,254.0,14.0,312.0
20605,Port Phillip,108637,4227.8,25.6958,82752,57498,8989929024,245.0,2.0,163.0
20606,Stonnington - West,67280,5639.8,11.9294,104392,59039,7023493760,69.0,5.0,114.0
20607,Yarra,93743,4547.0,20.6163,74676,55698,7000352268,116.0,9.0,162.0
20701,Boroondara,177276,2953.8,60.0157,92562,55075,16409021112,466.0,16.0,273.0
20702,Manningham - West,95361,1959.2,48.6724,58933,41766,5619909813,63.0,,
20703,Whitehorse - West,106953,2810.5,38.0551,60128,44059,6430869984,428.0,4.0,40.0
20801,Bayside,102912,2765.6,37.2111,95100,55569,9786931200,575.0,9.0,11.0
20902,Darebin - North,99690,2527.4,39.4436,50112,42572,4995665280,497.0,5.0,56.0
20903,Nillumbik - Kinglake,68158,90.7,751.7682,64009,49090,4362725422,9.0,4.0,
20904,Whittlesea - Wallan,223805,224.4,997.4394,49891,44817,11165855255,787.0,8.0,
21001,Keilor,61513,1449.9,42.425,59173,47903,3639908749,293.0,1.0,14.0
21002,Macedon Ranges,30674,30.9,992.107,61026,47239,1871911524,,,
20802,Glen Eira,156621,3848.2,40.7002,69238,50482,10844124798,535.0,10.0,110.0
20803,Kingston,122711,1756.4,69.8633,59175,48481,7261423425,477.0,9.0,
20804,Stonnington - East,43723,3186.3,13.722000000000001,97067,57316,4244060441,87.0,6.0,74.0
20901,Banyule,127447,2035.5,62.6133,61868,48840,7884890996,558.0,9.0,23.0
21003,Moreland - North,79507,2617.3,30.3779,50481,43593,4013592867,344.0,8.0,5.0
21004,Sunbury,40924,157.0,260.6847,55165,47653,2257572460,239.0,2.0,
21005,Tullamarine - Broadmeadows,168560,573.1,294.0954,47484,42238,8003903040,740.0,5.0,
21101,Knox,160400,1355.9,118.3019,53024,45214,8505049600,169.0,4.0,
21102,Manningham - East,27328,410.6,66.5619,74234,48693,2028666752,,,
21103,Maroondah,114347,1868.8,61.1872,54369,45866,6216932043,,5.0,
21104,Whitehorse - East,63443,2387.8,26.5696,55818,45053,3541261374,67.0,2.0,4.0
21105,Yarra Ranges,154411,96.2,1605.9370000000001,52025,43553,8033232275,,5.0,
21201,Cardinia,97736,76.2,1282.327,51791,44720,5061845176,46.0,4.0,
21202,Casey - North,137253,1178.1,116.50299999999999,52410,44308,7193429730,554.0,3.0,
21203,Casey - South,175536,599.3,292.9259,49425,45225,8675866800,565.0,3.0,
21204,Dandenong,196452,1300.6,151.0513,43805,39085,8605579860,968.0,6.0,
21205,Monash,184587,2322.6,79.4733,55548,42827,10253438676,772.0,7.0,
21301,Brimbank,195201,1826.9,106.8497,45995,41377,8978269995,733.0,6.0,
21302,Hobsons Bay,88419,1421.2,62.2158,62122,50867,5492765118,416.0,8.0,
21303,Maribyrnong,86942,2784.3,31.2254,56097,47362,4877185374,396.0,6.0,45.0
21304,Melton - Bacchus Marsh,159962,238.1,671.9436,52623,47056,8417680326,507.0,,
21305,Wyndham,232034,426.4,544.1195,53274,47367,12361379316,876.0,5.0,
21401,Frankston,139502,1076.4,129.59799999999998,50591,44371,7057545682,609.0,4.0,
21402,Mornington Peninsula,161528,223.1,724.1679,55238,40529,8922483664,522.0,8.0,
